topic,Method,k,R1,R2,RL
ai,PCE-random,1,0.22344856300214694,0.08552290895462633,0.20175479902439494
ai,PCE-random,2,0.3238017246390177,0.11849606773071115,0.29256455499106176
ai,PCE-random,3,0.3353390147830101,0.12128825440837816,0.30561860240170613
ai,PCE-random,4,0.32018693508642915,0.11457230372500603,0.2937839569005728
ai,PCE-random,5,0.3026888610352466,0.10521653744707202,0.27769767290789865
ai,PCE-rouge2,1,0.25442511179147087,0.09658485374661537,0.22056885789417258
ai,PCE-rouge2,2,0.3256759101671995,0.11723641709904654,0.2896386113821034
ai,PCE-rouge2,3,0.3371569125958865,0.11780382594098515,0.30379878053106607
ai,PCE-rouge2,4,0.32681721220825477,0.11626908227380464,0.29740323655515916
ai,PCE-rouge2,5,0.3146650521950517,0.11330812264085623,0.28621167613472687
ai,PCE-best,1,0.24044195651816294,0.08485868286197927,0.21534520742697105
ai,PCE-best,2,0.3211001581379763,0.11708069535450083,0.2934076764069858
ai,PCE-best,3,0.34146708660409014,0.12501701958815625,0.31113320329256144
ai,PCE-best,4,0.3295637087612974,0.12281604396232439,0.3026773748924694
ai,PCE-best,5,0.309749031332499,0.11440353586965635,0.2839823059230841
ai,THExt,1,0.26313955644027565,0.08708938834867078,0.22385682228066534
ai,THExt,2,0.3250319309181269,0.11538215018960266,0.28789249439215736
ai,THExt,3,0.3350403717938848,0.12527985999970123,0.2998488343225785
ai,THExt,4,0.3205117245159571,0.1255839183174462,0.2923374095934717
ai,THExt,5,0.304667399242673,0.11844456903976497,0.2796339988212361
