Topic,Method,k,R1,R2,RL
ai,direct-extraction,1,0.22740325932790315,0.07389982329797021,0.2077908294259177
ai,direct-extraction,2,0.2813913064988302,0.08549706166281089,0.2598456651301397
ai,direct-extraction,3,0.28502172260033964,0.08634107410836823,0.2633398527290944
ai,direct-extraction,4,0.2660945362573156,0.07887486899284189,0.24752573981889828
ai,direct-extraction,5,0.2469066037421251,0.07261730576751395,0.229467608644277
bio,direct-extraction,1,0.23086570335837373,0.06681929709922997,0.1993538773454566
bio,direct-extraction,2,0.27302771183403657,0.07877574190772473,0.2423078903401018
bio,direct-extraction,3,0.273857041920017,0.08051839622754639,0.2465018104059516
bio,direct-extraction,4,0.2620182524595367,0.07775892154017718,0.23788436535188656
bio,direct-extraction,5,0.24788450865718506,0.07421669582088915,0.22641500318364252
cs,direct-extraction,1,0.2461178345171038,0.07075975298190472,0.21716188928143765
cs,direct-extraction,2,0.293976312158377,0.08753324444097091,0.26531785514328465
cs,direct-extraction,3,0.28584689243141576,0.08367773182826502,0.25856026638421215
cs,direct-extraction,4,0.2681425842761392,0.0788283109606088,0.24461298349360125
cs,direct-extraction,5,0.24974588412304755,0.07424573750215661,0.22926109215053742
